2026-03-12 02:19:37 | DEBUG    | local_cartridge_train |   - Generating response 3/4, prompt length: 76
2026-03-12 02:19:40 | DEBUG    | local_cartridge_train |     - Generated 38 tokens
2026-03-12 02:19:40 | DEBUG    | local_cartridge_train |   - Generating response 4/4, prompt length: 71
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |     - Generated 256 tokens
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train | generate_batch_local: Completed. 4 successful responses
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - Generation complete in 50.88s
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - 4/4 valid responses, gen_tokens=1,129
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train | Step 1: Computing teacher top-k logprobs...
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - Grouped by 3 patients
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - Truncated patient_10 doc from 10607 to 4096 tokens
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train | compute_teacher_topk: Processing 1 prompts
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - doc_len: 4096, top_k: 20, micro_batch: 4
2026-03-12 02:19:54 | DEBUG    | local_cartridge_train |   - Computing document KV cache...
2026-03-12 02:20:25 | DEBUG    | local_cartridge_train |   - Document KV cache computed, doc_len: 4096
